Verb,Noun,Prep,Prep_obj,Class_label
shipped,crabs,from,province,V
ran,broadcast,on,way,N
is,apartment,with,floors,N
tending,meters,during,shift,V
are,prospects,for,mobility,N
leaves,wife,in,front,V
is,end,of,life,N
walks,upstairs,to,library,V
Inspects,Operation,of,Furnace,N
sing,birthday,to,you,N
carry,fight,against,imperialists,N
including,all,of,engineers,N
teaches,him,at,home,V
have,knowledge,for,example,N
repeats,theme,of,class,N
harangues,visitor,about,sanctions,V
have,warmth,for,each,V
know,any,of,that,N
provides,care,to,workers,V
leads,visitor,into,ward,V
given,birth,to,girl,V
receiving,number,of,approaches,N
expect,interest,from,banks,N
boost,presence,to,development,V
fetch,price,of,profit,N
gave,comfort,to,markets,V
was,sign,to,markets,N
easing,grip,on,credit,N
inject,amounts,of,money,N
inject,amounts,into,system,V
view,action,as,hand,V
provide,money,to,system,V
deliver,speech,to,convention,V
say,something,about,policies,N
beginning,text,of,speech,N
coordinating,activities,with,officials,V
signal,change,of,policy,N
nudge,rate,to,8,V
was,coordination,among,agencies,V
drop,60,to,points,N
left,chairmanship,of,the,N
view,volatility,as,fact,V
regard,amount,of,decline,N
expect,volatility,of,magnitude,N
expressed,concern,about,pauses,N
plans,hearings,on,bill,N
subject,the,to,control,V
given,chance,of,passing,N
is,cause,for,anxiety,N
drive,dollar,through,interventions,V
put,the,on,board,V
have,role,with,audited,V
want,dollar,for,gains,V
thumb,nose,at,the,V
take,case,to,people,V
sows,seeds,for,stagnation,N
applied,controls,in,1971,V
yielded,benefits,to,interests,N
yielded,benefits,at,expense,V
killed,inflation,at,cost,V
become,victims,of,policies,N
buy,%,for,10,V
produce,ounces,of,gold,N
produce,ounces,in,year,V
produce,ounce,of,gold,N
produce,ounce,at,mines,V
is,stake,in,mine,N
credited,story,in,the,N
holds,stake,in,concern,N
been,subject,of,speculation,N
Put,it,in,letters,V
answer,questions,about,remarks,N
described,decline,in,beginning,N
described,decline,as,shock,V
is,lot,of,nervousness,N
is,lot,in,market,V
was,one,of,factors,N
had,lot,of,froth,N
had,lot,in,weeks,V
warned,firms,over,weekend,V
paying,attention,to,markets,V
is,chance,of,increase,N
raised,rate,to,%,V
closed,books,at,end,V
citing,reason,for,strength,N
exacerbate,declines,in,markets,N
treating,market,with,caution,V
plummeted,%,to,2093,V
decreased,exposure,to,market,N
was,lots,of,optimism,N
closed,exchange,for,days,V
shook,confidence,in,market,N
planned,vigil,on,developments,N
sitting,night,at,home,V
play,note,of,crisis,N
's,reason,for,fall,N
facing,uncertainty,because,worries,V
staged,rally,against,dollar,N
staged,rally,after,news,V
sells,shares,in,hope,V
buying,them,at,profit,V
cool,appetite,for,buy-outs,N
are,trends,on,markets,N
buy,something,for,price,V
Put,it,in,letters,V
slipped,1,in,slump,V
tracks,holdings,for,firm,V
sold,shares,in,months,V
culminated,battle,for,maker,N
put,company,on,block,V
held,talks,with,parties,V
buy,shares,through,subsidiary,V
committed,million,in,loan,V
become,player,in,industry,N
dropped,points,in,minutes,V
mirror,1987,with,dive,V
include,differences,in,market,N
be,plus,for,stocks,V
leaving,millions,of,dollars,N
sell,stock,in,order,V
meet,demands,from,customers,N
sold,hundreds,of,millions,N
be,positive,for,stocks,N
have,bearing,on,market,N
get,financing,for,deal,V
took,minutes,from,announcement,V
drop,equivalent,of,points,N
making,markets,in,stocks,N
balance,orders,in,stocks,N
handle,imbalances,on,floor,N
faced,likelihood,of,calls,N
put,cash,for,positions,N
were,sellers,than,buyers,N
dumping,positions,in,race,V
plunged,6.625,to,56.625,V
put,itself,for,sale,V
nosedived,21.5,to,85,V
executing,trades,for,client,V
using,stake,as,club,V
left,him,with,loss,V
been,seller,of,stocks,N
take,advantage,of,differentials,N
reinforce,perception,of,investors,N
turn,upsets,into,calamities,V
threatening,drop,in,dollar,N
keep,dollar,within,range,V
threatening,crackdown,on,takeovers,N
eliminate,deductibility,of,interest,N
voicing,concern,about,buy-outs,N
force,changes,in,deal,N
are,points,than,level,N
was,14,at,peak,V
dominating,thinking,of,analysts,N
is,plight,of,market,N
focused,attention,on,market,V
owe,part,to,perception,V
be,subject,of,buy-out,N
buy,company,at,premium,V
sell,piece,by,piece,N
lost,million,in,value,N
reflect,end,of,period,N
selling,divisions,to,fool,V
buy,companies,around,world,N
warned,clients,of,danger,N
warned,clients,before,crash,V
compares,drop-off,to,corrections,V
hit,level,of,2791.41,N
tumble,points,in,event,V
bracing,themselves,for,selling,V
detect,panic,over,weekend,N
have,reserves,as,cushion,V
sell,million,of,stocks,N
sell,million,in,crash,V
quadrupled,level,of,fund,N
inject,amounts,of,money,N
inject,amounts,into,system,V
turned,problems,among,firms,V
named,chairman,of,supplier,N
reached,conclusion,about,unraveling,N
like,looks,of,deal,N
made,total,on,buy-out,V
put,million,of,funds,N
put,million,into,deal,V
take,nature,of,industry,N
's,one,of,proposals,N
has,history,of,ties,N
stretched,guidelines,in,hopes,V
was,job,of,chief,N
put,face,on,news,V
caught,group,off,guard,V
including,representatives,of,counsel,N
pitched,proposal,to,banks,V
provided,share,of,financing,N
made,views,in,conversations,V
seek,increases,in,round,V
citing,degree,of,risk,N
assume,type,of,recession,N
assume,type,in,future,V
increase,%,over,years,V
increase,average,of,%,N
increase,average,despite,downs,V
include,profit,for,lenders,N
means,cash,for,shareholders,N
has,flop,on,hands,V
paid,fees,of,million,N
paid,fees,for,commitments,V
includes,refinancing,of,debt,N
expressed,interest,in,transaction,N
attended,meeting,with,representatives,N
were,lot,of,indications,N
were,lot,before,both,V
was,effort,among,banks,N
was,deal,for,lenders,N
lose,money,in,quarter,V
get,money,for,buy-out,N
paid,%,to,%,N
lending,amounts,of,money,N
diminish,appeal,to,speculators,N
raising,price,of,imports,N
telegraph,distaste,for,securities,N
signal,confidence,in,system,N
sell,dollars,for,currencies,V
reduce,demand,for,dollars,N
increase,demand,for,currency,N
taking,currency,with,it,V
was,function,of,dragging,N
be,sense,of,coming,N
stem,impact,of,declines,N
be,flight,to,quality,N
increase,pressure,on,dollar,N
called,counterparts,in,the,N
gone,home,in,the,V
be,signal,of,point,N
trigger,liquidation,with,fundamentals,V
shifting,funds,for,differences,V
increase,demand,for,dollars,N
Barring,catastrophe,in,market,N
take,advantage,of,differences,N
buying,stocks,in,companies,N
take,advantage,of,discrepancies,N
put,collateral,for,securities,V
sell,stock,at,price,V
buy,stock,at,price,V
buying,contract,at,price,V
take,delivery,of,500,N
sell,contract,at,price,V
sell,contract,at,price,V
transferring,all,of,accounts,N
making,transfers,as,result,V
underscored,need,for,exchanges,N
hasten,clearing,of,contracts,N
done,harm,than,good,N
triggering,round,of,selling,N
hitting,limit,of,points,N
imposed,halt,in,contract,N
imposed,halt,after,drop,V
caused,consternation,among,traders,V
halted,trading,in,contract,N
driven,prices,in,pit,V
hedging,risks,in,markets,N
deluged,pit,with,orders,V
sell,contracts,at,limit,V
killed,chance,of,rally,N
drove,prices,to,limit,V
touched,limit,of,points,N
doubled,requirements,for,futures,N
doubled,requirements,to,8000,V
begun,cross-margining,of,accounts,N
processes,trades,for,exchanges,V
face,requirements,on,each,V
facing,calls,for,positions,N
led,studies,of,markets,N
making,failure,in,history,N
needed,help,in,battle,N
made,contributions,to,each,V
pressed,subversion,of,process,N
invested,359100,in,partnership,V
solicited,850000,in,contributions,N
solicited,200000,in,contributions,N
cost,taxpayers,with,accounting,V
obscures,seriousness,of,allegations,N
selling,million,in,debentures,N
selling,million,near,communities,V
were,part,of,job,N
second-guess,personality,of,legislator,N
reaches,conclusion,in,case,V
cool,panic,in,both,N
handle,imbalances,on,floor,N
left,offices,on,day,V
surrendered,a,of,gains,N
chalking,loss,on,day,N
chalking,loss,in,volume,V
spurred,concern,about,prospects,N
get,financing,for,bid,N
rid,themselves,of,stock,V
hit,stocks,on,the,V
buy,baskets,of,stocks,N
offset,trade,in,futures,N
watch,updates,on,prices,N
are,differences,between,environment,N
are,opportunities,in,market,N
set,relations,with,customers,N
reinforces,concern,of,volatility,N
take,look,at,situation,N
Concerning,article,on,leeches,N
sell,aircraft,to,buyers,V
sell,fleet,of,707s,N
includes,assumption,of,million,N
have,billion,in,assets,N
bring,it,to,attention,V
representing,%,of,value,N
totaled,tons,in,week,V
raise,million,in,cash,N
peppered,funds,with,calls,V
take,place,at,prices,V
built,cash,to,%,V
posted,inflows,of,money,N
scaled,purchases,of,funds,N
croak,stocks,like,that,N
infuriated,investors,in,1987,V
opened,centers,across,country,N
increased,staff,of,representatives,N
moved,money,from,funds,V
calm,investors,with,recordings,V
had,recording,for,investors,V
averaged,gain,of,%,N
talk,them,of,it,V
report,earnings,of,cents,N
reported,income,of,million,N
receiving,aircraft,from,maker,V
caused,turmoil,in,scheduling,N
put,pressure,on,company,V
miss,one,at,all,V
has,set,for,delivery,N
has,set,at,end,V
have,plane,on,time,V
deliver,a,on,time,V
take,delivery,of,another,N
anticipating,changes,in,timetable,N
finish,aircraft,at,plant,N
expect,resolution,to,anything,N
represents,contract,of,any,N
represents,workers,at,unit,N
extend,contract,on,basis,V
allow,competition,in,generation,N
allow,competition,as,part,V
raise,billion,from,sale,V
had,revenue,of,billion,N
be,move,around,world,N
deregulate,generation,of,electricity,N
is,thrust,on,side,N
mulling,projects,in,countries,N
building,plants,in,the,N
producing,megawatts,of,power,N
building,plants,at,cost,V
report,earnings,of,million,N
had,income,of,326000,N
had,income,on,revenue,V
is,operator,with,interest,N
is,venture,with,trust,N
get,approvals,for,development,N
buy,land,at,prices,V
buy,properties,in,state,N
buy,properties,for,cash,V
is,the,of,kind,N
putting,%,of,capital,N
is,one,of,ways,N
assure,pipeline,of,land,N
fuel,growth,at,risk,V
increased,reliance,on,plastics,N
lost,quarter,of,value,N
lost,quarter,since,1,V
took,job,in,1986,V
make,bags,among,items,N
cover,half,of,needs,N
putting,orders,for,polyethylene,N
announced,increases,of,cents,N
take,effect,in,weeks,V
described,payout,at,time,V
share,bonanza,with,holders,V
saw,payment,as,effort,V
become,topic,of,speculation,N
deflected,questions,in,meeting,V
viewed,response,as,nothing,V
confronts,disaster,at,plant,N
adds,dimension,to,change,V
introduce,imponderable,into,future,V
resume,operation,by,end,V
strengthen,sway,in,business,N
tightening,grip,on,business,N
is,distributor,in,the,N
expand,business,in,the,V
moving,11,of,employees,N
discussing,plans,with,firms,V
do,job,at,cost,V
spending,million,on,time,V
moved,it,to,headquarters,V
moved,employees,of,group,N
hired,buyers,for,unit,V
