Verb,Noun,Prep,Prep_obj,Class_label
is,chairman,of,N.V.,N
named,director,of,conglomerate,N
caused,percentage,of,deaths,N
using,crocidolite,in,filters,V
bring,attention,to,problem,V
is,asbestos,in,products,N
led,team,of,researchers,N
making,paper,for,filters,N
including,three,with,cancer,N
is,finding,among,those,N
is,one,of,nations,N
have,standard,of,regulation,N
imposed,ban,on,uses,N
made,paper,for,filters,N
dumped,sacks,of,material,N
dumped,sacks,into,bin,V
mixed,fibers,in,process,V
has,bearing,on,force,N
expect,declines,in,rates,N
eased,fraction,of,point,N
retain,rates,for,period,V
considered,sign,of,rising,N
pour,cash,into,funds,V
had,yield,during,week,N
holds,interest,in,company,N
holds,three,of,seats,N
approved,acquisition,by,Ltd.,N
completed,sale,of,Operations,N
is,company,with,interests,N
has,revenue,of,million,N
suspended,sales,of,bonds,N
lifted,ceiling,on,debt,N
issue,obligations,of,kind,N
raise,ceiling,to,trillion,V
was,manager,of,division,N
been,executive,with,Chrysler,N
been,executive,for,years,V
registered,deficit,of,million,N
registered,deficit,in,October,V
casting,cloud,on,economy,V
recorded,surplus,of,million,N
keep,pace,with,magazine,N
announced,rates,for,1990,N
introduce,plan,for,advertisers,N
give,discounts,for,maintaining,N
become,fixtures,at,weeklies,N
underscore,competition,between,Newsweek,N
lowered,base,for,1990,N
be,%,per,subscriber,N
awards,credits,to,advertisers,V
shore,decline,in,pages,N
gaining,circulation,in,years,V
had,circulation,of,4393237,N
leaves,Co.,as,bidders,V
proposed,plan,in,proceedings,N
acquire,PS,of,Hampshire,N
values,plan,at,billion,V
owns,PS,of,Hampshire,N
was,one,of,factors,N
proposed,-,against,boosts,N
seeking,approval,of,purchase,N
complete,purchase,by,summer,V
elected,directors,of,chain,N
succeed,Rexinger,on,board,V
refund,million,to,ratepayers,V
make,refunds,of,45,N
make,refunds,to,customers,V
received,service,since,1986,V
block,order,by,Edison,V
held,hostage,through,round,V
slash,earnings,by,1.55,V
reported,earnings,of,million,N
raise,rates,by,million,V
upheld,challenge,by,groups,N
added,million,to,calculations,V
set,rate,on,refund,N
set,rate,at,%,V
faces,refund,on,collections,N
set,precedent,for,case,N
seeking,million,in,increases,N
refund,million,for,performance,V
followed,increases,of,%,N
opened,plant,in,Korea,V
meet,demand,for,products,N
